"sex","height","weight","income","waga","woje","class","age","age6","education"
1,183,93,5700,0.2756517094,4,6,52,4,11
2,170,75,2600,0.2520736963,4,6,36,3,11
1,165,63,1400,0.35696535312,4,6,90,6,60
2,160,85,1000,0.281581,4,6,80,6,60
2,162,50,800,0.557186,4,6,59,4,50
2,150,68,153,0.158849,4,6,67,6,60
1,165,62,1080,0.1782525641,4,6,71,6,60
1,187,93,1500,0.764573,4,5,54,4,50
1,179,92,1500,0.888836,4,5,23,1,51
2,169,82,500,0.682232,4,5,50,4,60
2,155,50,1300,0.291212,4,5,71,6,60
2,162,64,1400,0.310208,4,5,49,4,50
1,176,75,1200,0.3271029441,4,5,50,4,30
2,157,45,520,0.405368,4,5,21,1,40
1,167,70,1450,0.109324,4,6,78,6,60
2,164,80,840,0.09743729136,4,6,70,6,60
1,176,76,600,0.099515,4,6,35,3,50
1,180,100,1500,1.23192599568,4,6,60,5,60
2,176,80,1000,1.23593654376,4,6,56,4,60
2,160,83,3000,0.281796,4,6,54,4,30
1,178,69,3000,0.317256,4,6,54,4,30
1,176,80,2800,0.5476969491,4,2,47,4,50
1,185,90,2500,0.676706,4,2,24,1,30
2,170,65,1500,0.678744,4,2,21,1,50
2,159,57,1500,0.8349998232,4,2,74,6,30
1,160,79,2000,1.047343,4,2,87,6,60
1,172,76,3000,0.6405938879,4,2,30,2,20
2,163,54,2300,0.598189,4,2,29,2,11
1,175,102,5000,1.167366,4,2,38,3,12
2,160,80,1300,1,4,3,69,6,30
2,156,58,1500,0.954245766,6,6,38,3,11
1,165,71,1800,1,6,6,65,6,60
2,163,65,800,1,6,6,61,5,60
2,170,60,1500,1.13360325864,6,6,76,6,60
1,175,75,2100,0.148408,6,5,57,4,30
2,165,80,1470,0.154256,6,5,59,4,11
2,156,89,1130,1.0686732791,6,5,84,6,50
1,170,70,1900,0.259746,6,5,61,5,50
2,160,75,1500,0.2502285914,6,5,56,4,50
1,176,92,300,1.780333,6,6,57,4,60
2,168,60,3600,0.148016,6,6,36,3,30
2,165,90,1400,0.148115,6,6,56,4,60
2,164,64,2000,0.284539,6,5,31,2,12
2,162,57,1900,0.2997653496,6,5,42,3,50
2,154,68,800,0.264815,6,5,67,6,60
1,176,80,1700,0.366508,6,4,64,5,50
2,160,70,2100,0.33305513088,6,6,65,6,50
1,175,70,3800,0.085725,6,6,50,4,30
2,158,50,1780,0.106982,6,6,29,2,11
1,164,70,1300,0.10686362064,6,6,85,6,60
2,160,64,1300,0.338299,6,4,69,6,70
1,175,105,2200,0.228241,6,6,56,4,50
2,165,82,2000,0.278673,6,6,45,4,50
1,176,102,1500,0.313089,6,6,29,2,40
1,195,95,1200,0.177143,6,6,26,2,30
2,170,65,960,0.182372,6,6,24,1,30
2,159,66,1800,0.541201,6,6,34,2,11
1,170,78,1800,0.539334,6,6,36,3,30
2,159,64,1350,0.498504,6,6,79,6,60
1,180,95,2530,0.97,6,4,27,2,11
1,172,68,1150,0.3820326861,6,6,58,4,60
2,168,67,980,0.418015,6,6,52,4,50
2,165,78,800,1,6,6,68,6,60
1,165,60,870,1,6,6,70,6,60
1,176,68,1170,1,6,6,76,6,60
2,168,70,1900,0.967675,6,4,81,6,30
2,168,55,1800,0.945985,6,4,66,6,40
2,160,60,1400,0.945985,6,4,98,6,70
1,176,92,4000,0.1604112183,6,2,56,4,11
1,188,85,1546,0.202819,6,2,27,2,11
1,178,93,3500,0.3372533733,6,2,64,5,12
2,160,85,1100,0.381705,6,2,65,6,30
1,187,100,1700,1.073817,6,2,39,3,30
2,165,74,1500,1.132417,6,2,40,3,20
2,164,71,1000,0.282567,6,2,62,5,50
1,173,70,1700,0.330347,6,2,31,2,30
2,159,70,1500,1,6,2,77,6,11
2,158,87,1600,1.44432241104,6,2,51,4,30
2,165,52,1200,1.317123,6,2,28,2,11
1,174,80,700,1.62446755704,6,2,54,4,50
2,160,76,950,1,6,2,58,4,30
2,158,53,800,0.54902,6,2,57,4,30
2,165,73,1700,0.613559,6,2,30,2,11
1,176,87,1300,0.711908,6,2,52,4,20
1,174,90,2600,0.97,6,4,66,6,12
2,163,81,2000,0.97,6,4,37,3,11
1,178,90,1860,0.393335,8,6,76,6,50
1,176,90,1800,0.457193,8,6,39,3,50
2,158,56,2200,3.681776,8,6,42,3,50
1,180,90,1800,3.2198943487,8,6,48,4,50
2,180,66,1674,0.296023,8,5,80,6,50
2,158,84,1510,1.97692064496,8,6,77,6,60
1,173,70,2100,0.215755,8,5,74,6,30
2,166,78,1350,0.205676,8,5,70,6,30
2,155,60,1228,0.51208523184,8,5,67,6,60
1,172,60,1300,0.242072,8,6,38,3,20
1,165,78,1150,0.335039,8,6,63,5,50
1,168,68,1138,0.252506,8,6,35,3,30
2,164,70,1100,0.185864,8,6,50,4,50
1,167,90,700,0.22835,8,6,54,4,50
1,170,70,4000,0.221607,8,5,52,4,50
2,167,54,800,0.230257,8,5,43,3,50
1,170,84,2400,1.3604040286,8,4,32,2,11
2,166,49,1800,1.16521,8,4,31,2,11
2,164,64,1020,1.37360155632,8,4,54,4,30
2,167,93,6500,0.828141,8,5,58,4,20
1,175,75,2200,2.961486,8,5,39,3,11
2,172,72,3000,0.2758427121,8,5,52,4,50
2,160,60,920,2.321852,8,6,47,4,60
1,174,102,1600,1.222518,8,6,67,6,50
2,156,84,1200,1.250377,8,6,65,6,60
2,160,65,2000,0.946686535,8,6,61,5,50
1,175,80,1300,0.646323028,8,6,63,5,50
1,170,60,1500,1.469218,8,6,58,4,50
2,162,65,1800,2.973269,8,6,25,2,12
1,175,60,1500,2.058032,8,6,28,2,30
2,163,77,1200,1.550212,8,6,52,4,50
1,192,105,3000,0.510447659,8,4,52,4,50
2,168,70,1300,0.4034146386,8,4,51,4,30
1,168,80,2000,0.287141,8,6,64,5,50
1,165,90,2000,0.385596,8,6,31,2,50
1,178,60,1500,0.341816,8,5,31,2,30
1,171,69,1000,0.307343,8,5,63,5,50
2,150,62,678,0.280457,8,5,60,5,30
1,161,68,1700,1.7164571784,8,4,73,6,50
2,156,72,2400,0.39704,8,4,61,5,40
1,162,74,2000,0.150555,8,3,65,6,50
1,178,70,3600,0.1366064483,8,3,83,6,11
2,161,77,2400,0.1302252645,8,3,74,6,30
1,180,100,2000,0.4979590933,8,3,71,6,30
2,164,73,1700,0.504515,8,3,66,6,30
2,162,74,1300,3.123628,8,3,76,6,11
2,156,50,5000,0.472937,8,3,42,3,20
2,168,67,4000,1.1386216669,8,3,59,4,11
2,165,85,1200,0.251848,8,3,55,4,20
2,170,63,1300,0.322543,8,3,25,2,11
1,182,82,4300,0.359403,8,3,70,6,30
2,153,59,1300,0.3223655126,8,3,67,6,30
2,156,52,2000,1,8,3,50,4,30
1,180,70,923,0.327137,8,3,53,4,30
2,164,78,884,0.2356916864,8,3,56,4,30
2,170,60,400,0.396269,8,3,22,1,40
2,158,60,1560,0.465761,10,6,90,6,60
1,178,115,940,0.305064,10,6,67,6,60
2,161,80,600,0.243875,10,6,51,4,30
2,168,78,1000,1.95020952312,10,6,55,4,60
1,168,90,1000,1,10,6,59,4,60
2,167,75,1230,1.396547,10,4,74,6,60
2,164,70,1070,1.82608236912,10,6,70,6,60
1,170,65,1730,0.49656601584,10,6,82,6,50
2,160,76,730,0.46303175376,10,6,79,6,60
1,170,71,1800,0.32836747728,10,6,60,5,30
1,170,60,1500,0.393279,10,6,23,1,30
2,165,65,300,0.29724400848,10,6,47,4,60
2,164,70,1000,0.375019,10,6,44,3,30
1,170,70,1500,0.38292,10,6,50,4,60
2,157,52,1500,1.4372736768,10,4,63,5,40
1,164,70,850,1.5848924187,10,4,63,5,30
1,179,104,5000,1.512142,10,6,44,3,12
2,158,63,2400,0.966223,10,6,44,3,50
2,158,90,1000,0.194012,10,4,57,4,60
2,168,96,1000,0.218539,10,4,81,6,60
2,172,63,400,0.228219,10,4,22,1,30
2,150,80,850,0.858504,10,6,65,6,50
2,176,70,2000,0.494963,10,4,47,4,30
1,178,81,1700,0.445701,10,4,58,4,20
2,160,74,2200,0.966853,10,6,57,4,11
1,176,86,1270,1.074199,10,6,58,4,50
1,161,70,1500,0.342936,10,6,67,6,30
2,154,60,923,0.319777,10,6,71,6,50
1,170,85,890,0.394568,10,6,36,3,30
1,172,70,3000,4.738622,10,1,32,2,40
2,164,53,1500,5.215362,10,1,29,2,20
2,168,57,1500,3.984993,10,1,57,4,40
2,174,75,1300,2.022355,10,1,49,4,40
2,155,70,1600,0.4958909951,10,1,77,6,60
1,168,65,2000,0.587522,10,4,82,6,60
2,158,65,1400,0.5420703671,10,4,81,6,60
2,158,65,800,0.2600092469,10,6,60,5,50
2,160,55,7000,2.825838,12,6,34,2,11
2,168,80,3500,2.8272276108,12,6,56,4,11
1,180,80,3000,0.97,12,6,55,4,30
2,165,65,1500,3.536138,12,6,31,2,20
1,170,85,1200,0.57082,12,6,62,5,50
2,156,90,1700,0.6062432916,12,6,62,5,11
2,170,70,1200,0.523573,12,6,47,4,50
1,172,65,1500,1.345494,12,6,18,1,51
1,170,73,1000,1.06287921504,12,6,49,4,60
2,161,73,1000,1.00996,12,6,42,3,50
1,188,81,1800,0.2827423318,12,6,49,4,60
1,168,68,1350,0.3120852392,12,6,83,6,60
1,188,76,1350,0.404355,12,6,23,1,12
2,162,65,1200,0.2778468291,12,6,49,4,60
1,170,80,2900,0.4407824821,12,4,64,5,30
2,164,75,1670,0.4228432827,12,4,61,5,50
2,176,94,1030,1.0165671108,12,6,78,6,60
1,186,95,1500,0.87913276056,12,6,46,4,30
1,175,65,1280,1.49668,12,4,88,6,40
2,167,82,860,1.990592,12,6,71,6,60
1,189,80,2000,2.523666,12,6,25,2,50
1,185,78,1500,2.316412,12,6,23,1,50
2,172,70,1400,1.691667,12,6,47,4,50
2,160,78,2200,1.9596811157,12,1,77,6,11
2,158,106,2500,4.23049682616,12,1,54,4,20
2,155,60,1700,2.3325541092,12,1,85,6,40
1,176,90,800,2.69530621656,12,1,48,4,11
1,185,82,6500,1.147244,12,1,66,6,11
2,162,64,4200,0.7744322084,12,1,60,5,11
2,160,54,2100,1.9596811157,12,1,83,6,30
2,170,58,1300,2.697405,12,1,41,3,30
2,170,71,850,2.607899,12,1,65,6,30
2,160,65,1380,2.364164,12,3,83,6,40
1,178,95,1400,0.47171294808,14,6,79,6,60
2,164,90,1000,0.46424671704,14,6,82,6,60
1,178,79,2500,0.443381,14,6,46,4,40
2,163,67,2000,0.44778678144,14,6,44,3,40
1,177,75,1800,0.53857,14,6,23,1,30
2,164,65,1200,0.549969,14,6,22,1,30
1,176,78,100,2.442221,14,6,25,2,60
1,170,60,100,2.03984,14,6,58,4,60
1,166,70,2200,0.824173,14,6,81,6,11
2,158,77,1300,0.811127,14,6,77,6,11
2,150,45,1300,1.066142,14,5,86,6,60
2,160,80,1000,0.322127,14,6,55,4,40
1,170,75,1000,0.313932,14,6,58,4,50
1,178,110,1500,0.248556,14,6,48,4,50
2,160,68,1500,0.221872,14,6,50,4,50
2,168,80,1000,0.26025300048,14,6,79,6,60
1,160,85,2000,0.97,14,4,39,3,11
2,170,65,1000,0.97,14,4,64,5,30
1,178,67,2000,0.423141,14,6,25,2,12
1,180,77,1500,0.398285,14,6,52,4,50
2,174,84,1500,0.355527,14,6,50,4,50
2,160,70,1000,0.392327,14,6,88,6,70
1,180,110,1800,0.27324662352,14,6,56,4,50
2,176,60,1600,0.359334,14,6,24,1,40
2,160,72,1500,0.31634965152,14,6,62,5,20
2,165,75,1439,0.45184409976,14,6,66,6,20
1,180,100,1500,1,14,6,53,4,50
2,158,68,500,1,14,6,47,4,50
1,175,100,1230,0.409418,14,6,72,6,60
2,164,75,880,0.402938,14,6,67,6,60
2,168,77,1660,1,14,1,74,6,30
2,158,82,1000,3.250991,14,1,27,2,11
1,172,94,4000,1.817091,14,1,50,4,12
2,169,60,1600,1.663089,14,1,50,4,30
2,174,96,4000,1.228074,14,1,67,6,20
2,164,62,2500,2.813475,14,1,55,4,20
1,178,88,3000,2.89212389016,14,4,49,4,30
2,169,67,2100,2.490226,14,4,48,4,40
2,170,64,1900,2.587481,14,4,27,2,30
1,186,93,1530,0.97,14,5,29,2,30
2,168,52,1500,0.97,14,5,26,2,11
2,178,67,300,1,14,2,39,3,50
1,180,85,1500,1.032,14,2,30,2,30
1,179,90,2284,0.97,14,2,66,6,50
2,164,72,1658,0.97,14,2,68,6,11
2,164,58,500,5.64615,14,4,67,6,60
2,164,55,1320,0.1266338492,16,6,64,5,60
1,178,80,1000,1,16,6,54,4,50
2,153,73,470,1,16,6,61,5,30
2,164,80,1500,1,16,6,66,6,30
2,158,65,1360,1,16,6,90,6,60
2,160,65,2002,1,16,4,79,6,20
1,178,75,2141,0.7234965869,16,4,88,6,11
2,154,83,1312,0.9630638404,16,4,82,6,30
2,165,96,1700,0.323392,16,4,63,5,30
1,182,90,1500,0.879695,16,5,21,1,30
1,164,90,1500,1.016122,16,5,34,2,60
2,170,65,1450,0.602649,16,5,35,3,50
2,164,80,153,0.296377,16,6,77,6,60
1,180,75,1800,0.321948,16,6,76,6,60
1,190,80,2000,0.61657177,16,6,42,3,60
2,170,84,850,0.3774241579,16,6,64,5,60
1,174,80,1370,1.0516100576,16,5,81,6,60
1,176,60,860,1.18803212544,16,5,68,6,60
1,164,72,935,1.6996841005,16,4,74,6,60
1,175,80,1500,0.32477,16,6,32,2,50
1,167,84,1200,0.191439096,16,6,66,6,50
1,178,80,2400,1.906567,16,6,54,4,11
1,185,84,2150,3.435103,16,6,25,2,12
2,176,70,1400,1.5409260435,16,6,47,4,30
1,180,108,3000,0.60301827096,16,5,59,4,30
2,160,80,1370,1.290378,16,4,69,6,50
1,178,89,4000,0.7776275048,16,6,43,3,50
1,185,95,3000,1.1566304929,16,3,27,2,40
1,168,86,2600,1.0334111698,16,3,51,4,30
2,168,70,1700,0.755866,16,3,49,4,20
1,170,65,2000,0.4857142572,16,3,80,6,50
2,173,58,2000,0.476573,16,3,40,3,30
1,180,88,2400,2.978224,16,3,49,4,11
2,168,90,2500,2.049615,16,3,51,4,11
1,185,98,2880,0.2773886108,16,3,66,6,50
2,165,80,1580,0.3450985975,16,3,63,5,30
1,172,86,1700,0.1706679692,16,3,68,6,60
1,170,81,5800,0.552743,16,3,45,4,11
1,173,76,100,0.535588,16,3,24,1,40
2,163,60,3600,0.7491558708,16,3,66,6,20
1,175,80,1800,0.562799335,16,3,67,6,50
2,169,84,2100,1.976957,16,3,43,3,11
1,182,88,6000,3.16573298304,16,3,49,4,11
2,162,80,1080,1.032,12,6,75,6,60
2,168,85,1200,1.032,12,6,66,6,30
2,165,85,1600,1.032,12,6,66,6,50
1,176,96,7000,1,16,3,66,6,11
2,170,85,2000,0.97,16,3,63,5,40
1,167,80,2500,1,12,6,68,6,50
2,155,60,800,1.032,12,6,63,5,50
2,170,62,1500,1.032,12,6,50,4,30
2,172,60,2700,0.2823038724,16,3,48,4,11
2,164,58,1400,0.3475317649,16,3,66,6,30
1,180,80,2000,1.4754363132,18,6,35,3,20
1,170,80,1800,1.96336577904,18,6,32,2,11
1,175,140,1700,1.43882690784,18,6,61,5,50
2,158,56,1500,1.66020852408,18,6,28,2,30
2,160,52,1000,1.21554578208,18,6,59,4,60
1,170,80,700,1.96336577904,18,6,34,2,50
1,165,70,900,1.032,12,6,75,6,60
2,155,69,900,1.032,12,6,75,6,60
2,164,62,1300,0.722935,18,5,72,6,30
2,164,52,3200,0.65278074336,18,5,49,4,11
1,169,75,3000,0.829315,18,5,74,6,30
1,171,70,2850,0.92082311472,18,5,54,4,11
1,176,74,2500,1.032,12,6,43,3,50
2,177,66,700,1.032,12,6,37,3,40
2,160,52,860,1.032,12,6,68,6,60
1,170,70,860,1.032,12,6,74,6,50
1,170,62,1500,1,12,6,37,3,50
2,168,73,1700,0.119121,18,4,83,6,30
1,168,82,1600,0.128573985,18,4,66,6,50
2,163,80,700,0.1120809489,18,4,65,6,40
2,164,90,950,1.032,12,5,69,6,60
2,164,64,1500,0.897005,18,6,47,4,50
1,168,85,1000,1.84945579656,18,6,55,4,50
1,170,83,800,1.749685,18,6,50,4,50
2,168,90,700,1.055679,18,6,24,1,40
1,176,56,1500,0.788214,18,4,29,2,30
1,170,62,1800,1.15616671056,18,4,63,5,11
2,160,50,1200,0.74098622712,18,4,56,4,20
1,170,87,2000,0.23424768408,18,6,59,4,50
1,170,80,1500,0.33072,18,6,31,2,30
2,168,63,1280,0.361453,18,6,29,2,12
2,160,96,800,0.427455,18,6,58,4,60
2,165,78,780,1.032,12,6,69,6,30
2,160,75,570,1.032,12,6,69,6,70
1,185,90,2500,0.62866218096,18,6,29,2,11
1,182,82,2000,0.44225938944,18,6,33,2,50
1,178,95,600,0.44225938944,18,6,62,5,50
2,164,64,300,0.85784698656,18,6,58,4,20
1,178,80,1040,0.93681747384,18,6,62,5,30
2,164,75,3000,1.00248501672,18,6,52,4,11
2,159,67,2000,0.2513595532,18,5,63,5,30
2,160,100,900,0.623927,18,6,62,5,50
1,170,90,1200,0.714708,18,6,67,6,50
2,165,68,680,0.891932,18,6,24,1,12
1,170,100,1400,0.7991652168,18,6,77,6,60
2,162,75,1040,0.77669530536,18,6,80,6,50
1,174,88,1000,0.535724,18,6,76,6,60
1,170,60,153,0.823432,18,6,22,1,50
2,155,68,1200,0.496821,18,6,49,4,50
1,175,73,1150,0.823432,18,6,23,1,50
2,152,60,1100,0.496821,18,6,47,4,30
2,162,80,1100,0.5524,18,5,80,6,60
1,177,90,2700,0.524126,18,5,56,4,11
1,188,117,800,0.6228127597,18,5,46,4,50
2,176,85,700,0.469251,18,5,48,4,20
2,175,86,720,1.70940337584,18,6,76,6,60
2,170,65,2600,1.10644463064,18,6,60,5,20
1,182,80,1500,1.2092658144,18,6,56,4,50
1,174,85,2000,0.836838,18,4,55,4,30
1,176,100,2000,0.265332,18,4,65,6,50
1,179,95,3000,1.211382,18,3,63,5,11
2,164,70,1200,0.643057,18,3,60,5,30
2,160,62,780,0.839288,18,6,71,6,60
1,167,68,750,0.863568,18,6,71,6,50
1,170,78,1350,0.220201,18,6,43,3,40
2,164,80,1280,0.260242,18,6,66,6,20
2,170,63,5300,1,18,5,62,5,20
2,158,55,1020,0.372034,18,5,63,5,30
1,182,89,560,0.74495638272,18,5,60,5,50
2,160,44,1100,0.3748987823,18,6,79,6,60
2,162,100,2500,0.77667192024,18,6,56,4,30
1,176,78,2300,0.9193381596,18,6,60,5,30
1,182,79,1490,1.341538,18,6,73,6,40
2,160,61,860,1.11186891552,18,6,67,6,40
2,170,92,890,0.13176026976,18,6,71,6,60
2,140,40,850,0.13176026976,18,6,83,6,60
2,156,72,1800,0.60977019288,18,6,65,6,30
2,164,75,1360,1.220408,18,4,80,6,20
2,163,65,1504,0.9639859224,18,4,66,6,12
1,170,72,1300,0.196543,18,6,78,6,60
2,160,70,830,0.191017,18,6,71,6,60
1,170,90,1800,0.287462,18,4,76,6,50
2,165,74,1400,0.26636502048,18,4,84,6,60
2,160,80,1300,0.26387131632,18,4,55,4,30
2,154,60,2500,0.52366936992,18,3,66,6,11
1,170,50,2200,0.58657640568,18,3,32,2,11
2,154,70,1400,1.10767234944,18,3,78,6,60
1,175,72,1500,1.27066663584,18,3,84,6,50
2,152,67,3000,0.44527606992,18,3,60,5,30
1,182,90,1900,0.256717,18,3,47,4,50
2,160,72,1800,0.52327075992,18,3,46,4,30
2,167,66,800,0.264669,18,3,68,6,30
2,170,55,1000,0.321919,18,3,25,2,11
2,164,72,2500,0.367198,20,4,42,3,12
1,178,80,1500,0.502996,20,4,45,4,30
1,175,90,2000,0.225197,20,6,71,6,50
2,158,75,1500,0.237815,20,6,67,6,11
1,172,78,2300,0.56542350168,20,6,51,4,50
2,160,68,1300,0.45587590704,20,6,48,4,40
2,174,83,870,0.1787446548,20,5,66,6,60
1,186,100,2000,0.220802,20,6,41,3,50
2,160,60,800,0.176385,20,6,74,6,60
2,170,60,830,0.103423,20,6,62,5,50
1,178,103,3000,0.984804,20,5,64,5,30
2,158,59,1500,0.882185,20,5,61,5,30
1,176,69,1500,0.510236,20,5,64,5,50
2,164,70,1200,0.457068,20,5,64,5,40
2,164,85,1100,0.875076,20,6,77,6,60
2,160,76,1000,0.261965,20,6,84,6,70
1,180,88,300,0.301755,20,6,47,4,30
1,174,110,727,2.7202764487,20,6,39,3,50
2,158,88,1108,2.149547,20,6,62,5,60
1,176,110,980,2.187008,20,6,66,6,50
1,178,93,2600,0.26521,20,5,43,3,40
2,162,64,1600,0.204962,20,5,40,3,30
2,157,90,1800,0.200709,20,6,44,3,50
2,161,90,1130,0.190513432,20,6,77,6,60
1,175,80,2500,1.032,12,4,53,4,50
2,163,70,2100,1.032,12,4,51,4,11
1,172,80,2000,1,12,4,25,2,11
1,180,80,1800,0.97,12,4,32,2,40
2,158,47,1400,1,12,4,30,2,40
2,158,70,1300,1,12,4,53,4,30
1,164,80,1100,1,12,4,55,4,50
1,175,83,1000,0.24142691592,20,6,58,4,30
1,172,80,500,0.24099322824,20,6,60,5,50
1,170,83,1210,0.174917,20,6,74,6,60
1,168,85,1500,0.493516,20,6,44,3,30
2,164,65,1500,0.3444992442,20,6,46,4,12
2,162,95,3100,0.0563156208,20,6,52,4,11
2,170,59,1900,0.100864,20,2,56,4,20
2,160,60,1500,0.089041,20,2,86,6,50
1,165,70,1394,1.6005386448,20,2,79,6,50
2,155,70,2400,0.2820018435,20,2,66,6,50
1,172,78,1698,0.38121359664,20,2,80,6,30
2,153,50,1037,0.38229462696,20,2,73,6,50
2,163,66,1000,0.205755,20,2,58,4,40
1,170,70,1850,0.5355,20,2,62,5,11
2,160,77,1500,0.470861,20,2,65,6,60
2,167,68,1400,0.543446,20,2,31,2,12
1,164,65,800,0.965808,20,2,51,4,50
2,163,85,1500,0.0791325127,20,2,69,6,30
1,170,97,1700,0.054483,20,2,59,4,30
2,153,60,1260,0.056058,20,2,58,4,30
1,173,95,580,0.078507,20,2,19,1,51
2,154,81,2000,0.2840624145,20,2,61,5,11
1,176,86,1600,0.3171049407,20,2,63,5,11
1,170,95,2600,0.45583126272,20,2,50,4,11
2,161,85,2300,0.32748415752,20,2,50,4,11
2,172,84,2200,0.291755,20,2,43,3,11
1,186,102,1500,0.309669,20,2,55,4,30
2,173,71,4500,0.52968,20,2,31,2,12
2,164,82,1050,0.519871,20,2,59,4,30
2,152,56,1200,0.124628,20,4,91,6,30
1,170,70,2500,0.97,20,4,40,3,11
2,154,65,900,0.97,20,4,41,3,11
2,158,65,1500,0.467734,22,5,80,6,30
1,176,76,2000,0.454866,22,5,82,6,11
2,162,65,1700,0.461801,22,6,49,4,30
1,168,78,960,0.439436,22,6,56,4,30
1,178,94,1700,0.413531,22,6,69,6,30
2,170,60,1300,0.367174,22,6,67,6,50
1,160,62,520,3.772382,22,6,48,4,60
1,173,85,3000,1.0868486444,22,6,71,6,30
2,162,75,900,0.9650105625,22,6,68,6,40
1,173,75,5000,0.507759,22,6,20,1,51
1,173,85,4500,0.485329,22,6,59,4,50
2,152,70,2000,0.6028280437,22,6,58,4,30
1,192,124,4000,1.614827,22,6,55,4,50
2,165,60,1000,1,22,4,54,4,30
1,179,69,700,1,22,4,55,4,50
1,172,130,2000,0.149994,22,6,46,4,50
1,168,65,1600,0.142538,22,6,84,6,50
1,185,83,5060,0.799014,22,6,26,2,50
1,187,92,2500,0.3744706728,22,6,51,4,50
2,163,70,1000,0.519413,22,6,22,1,40
1,180,85,2000,0.28553763,22,6,41,3,50
2,161,67,1500,0.21827671008,22,6,38,3,40
2,156,57,1450,0.19579404312,22,6,72,6,40
2,164,82,1600,1.099033,22,6,40,3,40
1,169,60,1600,1,22,6,50,4,50
2,155,60,600,1,22,6,81,6,60
2,168,67,400,1,22,6,46,4,50
2,158,76,2600,0.97,22,6,56,4,30
1,172,68,2500,0.2222763342,22,6,32,2,40
1,178,85,2000,0.18854997072,22,6,64,5,50
2,162,58,1800,0.2280986234,22,6,29,2,12
1,178,96,3000,0.97,22,5,60,5,40
2,176,58,2000,0.97,22,5,28,2,11
1,184,95,3500,0.253195,22,6,46,4,50
1,180,100,3000,0.282026,22,6,25,2,51
1,180,90,1800,0.123679,22,6,52,4,50
2,158,52,1000,0.114735,22,6,46,4,60
2,163,78,1650,0.497509,22,4,62,5,20
1,178,100,2450,0.527447,22,4,63,5,40
2,176,90,2500,0.14927,22,4,56,4,12
2,164,84,2200,0.139545,22,4,61,5,30
2,156,81,1250,0.154747,22,4,93,6,60
